name,dialogue,season,episode
rachel,"Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!",1,1
phoebe,"If I let go of my hair, my head will fall off.",1,1
chandler,"Ooh, she should not be wearing those pants.",1,1
joey,I say push her down the stairs.,1,1
"phoebe, ross, chandler, and joey",Push her down the stairs! Push her down the stairs! Push her down the stairs!,1,1
rachel,"C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'you are a shoe! you are a shoe, you are a shoe, you are a shoe!'. And today I just stopped and I said, 'What if I don't want to be a shoe? What if I want to be a- a purse, you know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!",1,1
ross,You can see where he'd have trouble.,1,1
rachel,"Look Daddy, it's my life. Well maybe I'll just stay here with Monica.",1,1
monica,"Well, I guess we've established who's staying here with Monica...",1,1
rachel,"Well, maybe that is my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!",1,1
monica,"Just breathe, breathe.. that is it. Just try to think of nice calm things...",1,1
phoebe,"Raindrops on roses and rabbits and kittens,  bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string.  These are a few...",1,1
rachel,I'm all better now.,1,1
phoebe,I helped!,1,1
monica,"Okay, look, this is probably for the best, you know? Independence. Taking control of your life.  The whole, 'hat' thing.",1,1
joey,"And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.",1,1
monica,"Joey, stop hitting on her! It's her wedding day!",1,1
joey,"What, like there's a rule or something?",1,1
chandler,"Please don't do that again, it's a horrible sound.",1,1
paul,"It's, uh, it's Paul.",1,1
monica,"Oh God, is it 6",1,1
joey,Who's Paul?,1,1
ross,"Paul the Wine Guy, Paul?",1,1
monica,Maybe. Joey,1,1
ross,He finally asked you out?,1,1
monica,Yes!,1,1
chandler,"Ooh, this is a Dear Diary moment.",1,1
monica,"Rach, wait, I can cancel...",1,1
rachel,"Please, no, go, that'd be fine!",1,1
monica,"Are, are you okay? I mean, do you want me to stay?",1,1
ross,That'd be good...,1,1
monica,Really?,1,1
ross,"No, go on! It's Paul the Wine Guy!",1,1
phoebe,"What does that mean?   Does he sell it, drink it, or just complain a lot?",1,1
monica,"Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul.",1,1
all,Hey! Paul! Hi! The Wine Guy! Hey!,1,1
chandler,"I'm sorry, I didn't catch your name. Paul, was it?",1,1
monica,"Okay, umm-umm, I'll just--I'll be right back, I just got to go ah, go ah...",1,1
ross,A wandering?,1,1
monica,"Change!  Okay, sit down.  Two seconds.",1,1
phoebe,"Ooh, I just pulled out four eyelashes. That can't be good.",1,1
joey,"Hey, Paul!",1,1
paul,Yeah?,1,1
joey,"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red.",1,1
monica,"Shut up, Joey!",1,1
ross,"So Rachel, what're you, uh... what're you up to tonight?",1,1
rachel,"Well, I was kind of supposed to be headed for Aruba on my honeymoon, so nothing!",1,1
ross,"Right, you are not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your-  -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture.",1,1
chandler,"Yes, and we're very excited about it.",1,1
rachel,"Well actually thanks, but I think I'm just going to hang out here tonight.  It's been kind of a long day.",1,1
ross,"Okay, sure.",1,1
joey,"Hey Pheebs, you want to help?",1,1
phoebe,"Oh, I wish I could, but I don't want to.",1,1
phoebe,"Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart.  La-la-la-la-la-  Thank you.  La-la-la-la...oh!",1,1
ross,"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.",1,1
joey,I'm thinking we've got a bookcase here.,1,1
chandler,It's a beautiful thing.,1,1
joey,What's this?,1,1
chandler,I would have to say that is an 'L'-shaped bracket.,1,1
joey,Which goes where?,1,1
chandler,I have no idea.,1,1
joey,Done with the bookcase!,1,1
chandler,All finished!,1,1
ross,"This was Carol's favourite beer. She always drank it out of the can, I should have known.",1,1
joey,"Hey-hey-hey-hey, if you are going to start with that stuff we're out of here.",1,1
chandler,"Yes, please don't spoil all this fun.",1,1
joey,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?",1,1
ross,You guys.,1,1
chandler,"Oh, God.",1,1
joey,You got screwed.,1,1
chandler,Oh my God!,1,1
monica,Oh my God!,1,1
paul,"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",1,1
monica,"My brother's going through that right now, he's such a mess. How did you get through it?",1,1
paul,"Well, you might try accidentally breaking something valuable of hers, say her-",1,1
monica,#NAME?,1,1
paul,"that is one way! Me, I- I went for the watch.",1,1
monica,"You actually broke her watch?  Wow!  The worst thing I ever did was, I-I shredded by boyfriend's favourite bath towel.",1,1
paul,"Ooh, steer clear of you.",1,1
monica,that is right.,1,1
rachel,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-  Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me.  And not that I have any idea who me is right now, but you just have to give me a chance too...",1,1
ross,I'm divorced!  I'm only 26 and I'm divorced!,1,1
joey,Shut up!,1,1
chandler,You must stop!,1,1
ross,That only took me an hour.,1,1
chandler,"Look, Ross, you got to understand, between us we haven't had a relationship that has lasted longer than a Mento.   You, however have had the love of a woman for four years.   Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it!  I don't think that was my point!",1,1
ross,"You know what the scariest part is? What if there's only one woman for everybody, you know? I mean what if you get one woman- and that is it? Unfortunately in my case, there was only one woman- for her...",1,1
joey,"What are you talking about? 'One woman'? that is like saying there's only one flavour of ice cream for you. Lemme tell you something, Ross. There's lots of flavours out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get them with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!",1,1
ross,I honestly don't know if I'm hungry or horny.,1,1
chandler,Stay out of my freezer!,1,1
paul,"Ever since she walked out on me, I, uh...",1,1
monica,"What?..... What, you want to spell it out with noodles?",1,1
paul,"No, it's, it's more of a fifth date kind of revelation.",1,1
monica,"Oh, so there is going to be a fifth date?",1,1
paul,Isn't there?,1,1
monica,"Yeah... yeah, I think there is. -What were you going to say?",1,1
paul,"Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform.  ...Sexually.",1,1
monica,"Oh God, oh God, I am sorry... I am so sorry...",1,1
paul,It's okay...,1,1
monica,I know being spit on is probably not what you need right now. Um... how long?,1,1
paul,Two years.,1,1
monica,Wow! I'm-I'm-I'm glad you smashed her watch!,1,1
paul,"So you still think you, um... might want that fifth date?",1,1
monica,"...Yeah. Yeah, I do.",1,1
priest on tv,"We are gathered here today to join Joanne Louise Cunningham and Charles, Chachi-Chachi-Chachi, Arcola in the bound of holy matrimony.",1,1
rachel,Oh...see... but Joanne loved Chachi! that is the difference!,1,1
ross,"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?",1,1
joey,"Great story!  But, I uh, I got to go, I got a date with Andrea--Angela--Andrea...  Oh man,",1,1
chandler,"Angela's the screamer, Andrea has cats.",1,1
joey,Right.  Thanks.  It's June.  I'm out of here.,1,1
ross,"You know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I going to ask?",1,1
rachel,"Isn't this amazing? I mean, I have never made coffee before in my entire life.",1,1
chandler,That is amazing.,1,1
joey,Congratulations.,1,1
rachel,"You know, I figure if I can make coffee, there isn't anything I can't do.",1,1
chandler,"If can invade Poland, there isn't anything I can't do.",1,1
joey,"Listen, while you are on a roll, if you feel like you got to make like a Western omelette or something...  Although actually I'm really not that hungry...",1,1
monica,"Oh good, Lenny and Squigy are here.",1,1
all,Morning. Good morning.,1,1
paul,Morning.,1,1
joey,"Morning, Paul.",1,1
rachel,"Hello, Paul.",1,1
chandler,"Hi, Paul, is it?",1,1
paul,Thank you!  Thank you so much!,1,1
monica,Stop!,1,1
paul,"No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness.",1,1
monica,We'll talk later.,1,1
paul,Yeah.  Thank you.,1,1
joey,That wasn't a real date?! What the hell do you do on a real date?,1,1
monica,"Shut up, and put my table back.",1,1
all,Okay!,1,1
chandler,"All right, kids, I got to get to work. If I don't input those numbers,... it doesn't make much of a difference...",1,1
rachel,"So, like, you guys all have jobs?",1,1
monica,"Yeah, we all have jobs. See, that is how we buy stuff.",1,1
joey,"Yeah, I'm an actor.",1,1
rachel,Wow! Would I have seen you in anything?,1,1
joey,I doubt it. Mostly regional work.,1,1
monica,"Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theatre in the park.",1,1
joey,"Look, it was a job all right?",1,1
chandler,"'Look, Gippetto, I'm a real live boy.'",1,1
joey,I will not take this abuse.,1,1
chandler,"you are right, I'm sorry.  ""Once I was a wooden boy, a little wooden boy...""",1,1
joey,"You should both know, that he's a dead man.  Oh, Chandler?",1,1
monica,So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.,1,1
rachel,I can see that. You look like you slept with a hanger in your mouth.,1,1
monica,"I know, he's just so, so... Do you remember you and Tony DeMarco?",1,1
rachel,"Oh, yeah.",1,1
monica,"Well, it's like that. With feelings.",1,1
rachel,Oh wow. Are you in trouble.,1,1
monica,Big time!,1,1
rachel,Want a wedding dress?   Hardly used.,1,1
monica,"I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just going to get up and go to work.",1,1
rachel,"Oh, look, wish me luck!",1,1
monica,What for?,1,1
rachel,I'm going to go get one of those  job things.,1,1
frannie,"Hey, Monica!",1,1
monica,"Hey Frannie, welcome back! How was Florida?",1,1
frannie,"You had sex, didn't you?",1,1
monica,How do you do that?,1,1
frannie,"Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you are having sex!  So? Who?",1,1
monica,You know Paul?,1,1
frannie,"Paul the Wine Guy? Oh yeah, I know Paul.",1,1
monica,You mean you know Paul like I know Paul?,1,1
frannie,"Are you kidding? I take credit for Paul. You know before me, there was no snap in his turtle for two years.",1,1
joey,Of course it was a line!,1,1
monica,"Why?! Why? Why, why would anybody do something like that?",1,1
ross,I assume we're looking for an answer more sophisticated than 'to get you into bed'.,1,1
monica,I hate men!  I hate men!,1,1
phoebe,"Oh no, don't hate, you don't want to put that out into the universe.",1,1
monica,Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,1,1
phoebe,"All right, come here, give me your feet.",1,1
monica,"I just thought he was nice, you know?",1,1
joey,I can't believe you didn't know it was a line!,1,1
rachel,Guess what?,1,1
ross,You got a job?,1,1
rachel,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.,1,1
chandler,And yet you are surprisingly upbeat.,1,1
rachel,"You would be too if you found John and David boots on sale, fifty percent off!",1,1
chandler,"Oh, how well you know me...",1,1
rachel,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!",1,1
monica,How'd you pay for them?,1,1
rachel,"Uh, credit card.",1,1
monica,And who pays for that?,1,1
rachel,Um... my... father.,1,1
rachel,"Oh God, come on you guys, is this really necessary?  I mean, I can stop charging anytime I want.",1,1
monica,"C'mon, you can't live off your parents your whole life.",1,1
rachel,I know that. that is why I was getting married.,1,1
phoebe,"Give her a break, it's hard being on your own for the first time.",1,1
rachel,Thank you.,1,1
phoebe,"you are welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel.",1,1
ross,The word you are looking for is 'Anyway'...,1,1
monica,"All right, you ready?",1,1
rachel,"No.  No, no, I'm not ready!  How can I be ready?  ""Hey, Rach!  You ready to jump out the airplane without your parachute?""  Come on, I can't do this!",1,1
monica,"You can, I know you can!",1,1
rachel,I don't think so.,1,1
ross,"Come on, you made coffee!   You can do anything!",1,1
ross,"C'mon, cut. Cut, cut, cut,...",1,1
all,"Cut, cut, cut, cut, cut, cut, cut...",1,1
rachel,You know what?  I think we can just leave it at that.  It's kind of like a symbolic gesture...,1,1
monica,Rachel!  That was a library card!,1,1
all,"Cut, cut, cut, cut, cut, cut, cut..",1,1
chandler,"You know, if you listen closely, you can hear a thousand retailers scream.",1,1
monica,Welcome to the real world! It sucks. you are going to love it!,1,1
monica,"Well, that is it  You going to crash on the couch?",1,1
ross,"No. No, I got to go home sometime.",1,1
monica,You be okay?,1,1
ross,Yeah.,1,1
rachel,"Hey Mon, look what I just found on the floor.  What?",1,1
monica,"that is Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody.",1,1
ross and rachel,Goodnight.,1,1
ross,"Mmm.  Oh, no-",1,1
rachel,Sorry-,1,1
ross,"No no no, go-",1,1
rachel,"No, you have it, really, I don't want it-",1,1
ross,Split it?,1,1
rachel,Okay.,1,1
ross,"Okay.  You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",1,1
rachel,I knew.,1,1
ross,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,1,1
rachel,I did.,1,1
ross,"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?",1,1
rachel,"Yeah, maybe...",1,1
ross,"Okay... okay, maybe I will...",1,1
rachel,Goodnight.,1,1
ross,Goodnight.,1,1
monica,"See you .... Wait wait, what's with you?",1,1
ross,I just grabbed a spoon.,1,1
joey,I can't believe what I'm hearing here.,1,1
phoebe,I can't believe what I'm hearing here...,1,1
monica,What? I-I said you had a-,1,1
phoebe,What I said you had...,1,1
monica,Would you stop?,1,1
phoebe,"Oh, was I doing it again?",1,1
all,Yes!,1,1
monica,"I said that you had a nice butt, it's just not a great butt.",1,1
joey,"Oh, you wouldn't know a great butt if it came up and bit you.",1,1
ross,There's an image.,1,1
rachel,Would anybody like more coffee?,1,1
chandler,"Did you make it, or are you just serving it?",1,1
rachel,I'm just serving it.,1,1
all,"Yeah. Yeah, I'll have a cup of coffee.",1,1
chandler,"Kids, new dream... I'm in Las Vegas.",1,1
customer,"Ahh, miss?  More coffee?",1,1
rachel,"Ugh.  Excuse me, could you give this to that guy over there?  Go ahead.  Thank you.  Sorry.  Okay, Las Vegas.",1,1
chandler,"Okay, so, I'm in Las Vegas... I'm Liza Minelli-",1,1
monica,"What you guys don't understand is, for us, kissing is as important as any part of it.",1,2
joey,"Yeah, right!.......You serious?",1,2
phoebe,"Oh, yeah!",1,2
rachel,Everything you need to know is in that first kiss.,1,2
monica,Absolutely.,1,2
chandler,"Yeah, I think for us, kissing is pretty much like an opening act, you know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",1,2
ross,"Yeah, and-and it's not that we don't like the comedian, it's that-that... that is not why we bought the ticket.",1,2
chandler,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, you know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",1,2
rachel,"Yeah, well, word of advice",1,2
joey,....Are we still talking about sex?,1,2
ross,"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",1,2
marsha,"Well, she has issues.",1,2
ross,Does she.,1,2
marsha,"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",1,2
ross,"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kind of close.' See?",1,2
marsha,"Speaking of issues, isn't that your ex-wife?",1,2
ross,No. No.,1,2
marsha,"Yes, it is. Carol! Hi!",1,2
ross,"Okay, okay, yes, it is.  How about I'll, uh, catch up with you in the Ice Age.",1,2
ross,Hi.,1,2
carol,So.,1,2
ross,"You look great. I, uh... I hate that.",1,2
carol,Sorry. You look good too.,1,2
ross,"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",1,2
carol,A lesbian?,1,2
ross,"Well... you never know. How's, um.. how's the family?",1,2
carol,"Marty's still totally paranoid. Oh, and, uh-",1,2
ross,"Why- why are you here, Carol?",1,2
carol,I'm pregnant.,1,2
ross,Pregnant?!,1,2
chandler,"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding.",1,2
phoebe,...Then I've already seen this one!,1,2
monica,Are you through with that?,1,2
joey,"Yeah, sorry, the swallowing slowed me down.",1,2
monica,Whose little ball of paper is this?!,1,2
chandler,"Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and...  ...now I wish I was dead.",1,2
phoebe,"She's already fluffed that pillow... Monica, you know, you've already fluffed that-  -but, it's fine!",1,2
monica,"Look , I'm sorry, guys, I just don't want to give them any more ammunition than they already have.",1,2
chandler,"Yes, and we all know how cruel a parent can be about the flatness of a child's pillow.",1,2
phoebe,"Monica- Hi! Um, Monica, you are scaring me. I mean, you are like, you are like all chaotic and twirly. And not-not in a good way.",1,2
joey,"Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come.",1,2
monica,"that is because as far as my parents are concerned, Ross can do no wrong. You see, he's the Prince. Apparently they had some big ceremony before I was born.",1,2
chandler,"Ew, ew, ew, ew ew ew ew ew!",1,2
monica,What?,1,2
chandler,Ugly Naked Guy got a Thighmaster!,1,2
all,Eeaagh!,1,2
rachel,Has anybody seen my engagement ring?,1,2
phoebe,"Yeah, it's beautiful.",1,2
rachel,"Oh God, oh God, oh God oh God oh God oh God....",1,2
phoebe,"No, look, don't touch that!",1,2
rachel,"Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm going to have to return the ring, without the ring, which makes it so much harder...",1,2
monica,"Easy Rach, we'll find it.  Won't we!",1,2
chandler and joey,Oh! Yeah!,1,2
joey,"Alright, when did you have it on last?",1,2
phoebe,Doy! Probably right before she lost it!,1,2
chandler,You don't get a lot of 'doy' these days...,1,2
rachel,"I know I had it this morning, and I know I had it when I was in the kitchen with...",1,2
chandler,...Dinah?,1,2
rachel,"ohhh, don't be mad...",1,2
monica,You didn't.,1,2
rachel,"Oh, I am sorry...",1,2
monica,I gave you one job!,1,2
rachel,"Oh, but look how straight those noodles are!",1,2
chandler,"Now, Monica, you know that is not how you look for an engagement ring in a lasagne...",1,2
monica,I just... can't do it.,1,2
chandler,Boys? We're going in.,1,2
ross,.....Hi.,1,2
monica,Wow. That is not a happy hi.,1,2
ross,Carol's pregnant.,1,2
phoebe,Ooh! I found it!,1,2
monica,W-w-wh-... wha-... w-w-w-...,1,2
ross,"Yeah. Do that for another two hours, you might be where I am right about now.",1,2
chandler,"Kind of puts that whole pillow thing in perspective, huh, Mon?",1,2
rachel,"Well now, how-how do you fit into this whole thing?",1,2
ross,"Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me.",1,2
phoebe,She is so great! I miss her.,1,2
monica,What does she mean by 'involved'?,1,2
chandler,"I mean presumably, the biggest part of your job is done.",1,2
ross,"Anyway, they want me to go down to this- sonogram thing with them tomorrow.",1,2
rachel,So what are you going to do?,1,2
ross,"I have no idea. No matter what I do, though, I'm still going to be a father.",1,2
joey,".....Well, this is still ruined, right?",1,2
mrs. geller,"Oh, Martha Ludwin's daughter is going to call you.  Mmm! What's that curry taste?",1,2
monica,Curry.,1,2
mrs. geller,Mmmm!,1,2
ross,"I- I think they're great! I, I really do.",1,2
mr. geller,"Do you remember the Ludwins? The big one had a thing for you, didn't she?",1,2
mrs. geller,They all had a thing for him.,1,2
ross,"Aw, Mom...",1,2
monica,"I'm sorry, why is this girl going to call me?",1,2
mrs. geller,"Oh, she just graduated, and she wants to be something in cooking, or food, or.... I don't know. Anyway, I told her you had a restaurant-",1,2
monica,"No Mom, I don't have a restaurant, I work in a restaurant.",1,2
mrs. geller,"Well, they don't have to know that...",1,2
monica,"Ross, could you come and help me with the spaghetti, please?",1,2
ross,Yeah.,1,2
mrs. geller,"Oh, we're having spaghetti! that is.... easy.",1,2
monica,"I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me.",1,2
mrs. geller,"What that Rachel did to her life.... We ran into her parents at the club, they were not playing very well.",1,2
mr. geller,I'm not going to tell you what they spent on that wedding... but forty thousand dollars is a lot of money!,1,2
mrs. geller,"Well, at least she had the chance to leave a man at the altar...",1,2
monica,What's that supposed to mean?,1,2
mrs. geller,Nothing! It's an expression.,1,2
monica,No it's not.,1,2
mr. geller,"Don't listen to your mother. you are independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles...",1,2
mr. geller,"Look, there are people like Ross who need to shoot for the stars, with his museum, and his papers getting published. Other people are satisfied with staying where they are- I'm telling you, these are the people who never get cancer.",1,2
mr. geller,"...And I read about these women trying to have it all, and I thank God 'Our Little Harmonica' doesn't seem to have that problem.",1,2
monica,"So, Ross, what's going on with you? Any stories?  No news, no little anecdotes to share with the folks?",1,2
ross,"Okay! Okay.  Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby.",1,2
mrs. geller,And you knew about this?!,1,2
joey,"Your folks are really that bad, huh?",1,2
ross,"Well, you know, these people are pros. They know what they're doing, they take their time, they get the job done.",1,2
monica,"Boy, I know they say you can't change your parents,... boy, if you could-  -I'd want yours.",1,2
ross,Must pee.,1,2
phoebe,"You know, it's even worse when you are twins.",1,2
rachel,you are twins?,1,2
phoebe,"Yeah. We don't speak. She's like this high-powered, driven career type.",1,2
chandler,What does she do?,1,2
phoebe,She's a waitress.,1,2
rachel,"All right, you guys, I kind of got to clean up now.",1,2
monica,"Chandler, you are an only child, right? You don't have any of this.",1,2
chandler,"Well, no, although I did have an imaginary friend, who... my parents actually preferred.",1,2
rachel,"The lights, please..",1,2
ross,...How long was I in there?,1,2
rachel,I'm just cleaning up.,1,2
ross,Do you.. uh.. Do you need any help?,1,2
rachel,"Uh.. okay, sure! Thanks!",1,2
ross,"Anyway.. um..  So, you- uh- you nervous about Barry tomorrow?",1,2
rachel,Oh.. a little..,1,2
ross,Mm-hmm..,1,2
rachel,A lot.,1,2
ross,Mm.,1,2
rachel,"So, got any advice? You know, as someone who's recently been- dumped?",1,2
ross,"Well, you may want to steer clear of the word 'dumped'. Chances are he's going to be this, this broken shell of a man, you know, so you should try not to look too terrific, I know it'll be hard. Or, you know, uh, hey!, I'll go down there, and I'll give Barry back his ring, and you can go with Carol and Susan to the OB/GYN...",1,2
rachel,"Oh, you've got Carol tomorrow.. When did it get so complicated?",1,2
ross,Got me.,1,2
rachel,Remember when we were in high school together?,1,2
ross,Yeah.,1,2
rachel,"I mean, didn't you think you were just going to meet someone, fall in love- and that'd be it?  ..Ross?",1,2
ross,"Yes, yes!",1,2
rachel,"Oh! Man, I never thought I'd be here..",1,2
ross,Me either...,1,2
ross,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",1,2
susan,Hi.,1,2
carol,"Ross, you remember Susan.",1,2
ross,How could I forget?,1,2
susan,Ross.,1,2
ross,"Hello, Susan.  Good shake. Good shake. So, uh, we're just waiting for...?",1,2
carol,Dr. Oberman.,1,2
ross,..Dr. Oberman. Okay. And is he-,1,2
susan,She.,1,2
ross,#NAME?,1,2
carol,"Yes, and she's very supportive.",1,2
ross,"Okay, that is great.  No, I'm- Oh.",1,2
carol,Thanks.,1,2
ross,"Quack, quack..",1,2
carol,Ross? That opens my cervix.,1,2
rachel,Barry?,1,2
barry,C'mon in.,1,2
rachel,Are you sure?,1,2
barry,"Yeah! It's fine, it's fine. Robbie's going to be here for hours.",1,2
robbie,Huh?!,1,2
barry,"So, how you doin?",1,2
rachel,I'm- uh- I'm okay... You look great!,1,2
barry,"Yeah, well..",1,2
bernice,"Dr. Farber, Jason Greenstein's gagging.",1,2
barry,Be right there.  Be back in a sec.,1,2
rachel,I dumped him.,1,2
robbie,Okay.,1,2
ross,"So, um- so how's this, uh, how's this going to work? You know, with us? You know, when, like, important decisions have to be made?",1,2
